,body,lang,translation
10,"Es la sensación que me ha transportado esta experiencia. Por supuesto el producto es excelente y el trabajo en las elaboraciones se nota, no se trata de una cocina con muchos adornitos. Hay mucho trabajo a realizar para llegar a construir estos platos, pero...no sé, no me ha convencido. Quizás por ser Agosto pero no he encontrado sabores en los platos que me volvieran loco y un servicio demasiado robótico, en exceso estirado.",es,"It is the feeling that this experience has carried me. Of course the product is excellent and the work on the dishes shows, it is not a kitchen with many decorations. There's a lot of work to be done to get these dishes built, but...i don't know, he didn't convince me. Maybe it's August but I haven't found flavors in the dishes that drove me crazy and too much robotic, overstretched service."
11,"Es una gran experiencia y nos ha gustado mucho. Algunos platos sorprendentes como el calamar, las almejas, el bloody mary o el salmorejo. Otros platos nos han decepcionado bastante como la sopa de cebolla o el atún, creo que no es un buen modo de terminar este tipo de menú, ya que pienso que debería ir de menos a más siempre.El fallo mas grande pero es oir al cocinero gritar frases como ""a vuestra pu ta casa"" a los trabajadores, bastante desagradable, desde donde estábamos sentados se escuchaba todo.",es,"It's a great experience and we really liked it. Some amazing dishes like squid, clams, bloody mary or salmorejo. Other dishes have disappointed us quite like onion soup or tuna, I think it is not a good way to finish this type of menu, since I think it should go from less to more always.The biggest mistake but it is to hear the cook shout phrases like ""to your fucking house"" to the workers, quite unpleasant, from where we were sitting everything was heard."
12,"Comer en Abac es una experiencia vital que recomiendo a todos los amantes de la gastronomía.Nos sorprendió y gustó todo, desde el principio hasta el final. Una explosión de sabores en platos muy originales que se presentan de las formas más curiosas e interesantes. El personal es muy amable y conoce perfectamente tanto el oficio como los platos que sirven. En resumen: una maravilla.Si tengo que poner una pega, diría que el menú actual se centra demasiado en el producto de mar. Son sabores y texturas muy potentes y especiales que pueden no gustar a todos, o ser difíciles de entender para algunos.No obstante, nos encantó y salimos muy contentos.El precio: el esperable para 3 estrellas Michelin.",es,"Eating at Abac is a vital experience that I recommend to all food lovers. We were surprised and liked everything from the beginning to the end. An explosion of flavors in very original dishes that are presented in the most curious and interesting ways. The staff is very friendly and knowledgeable of both the trade and the dishes they serve. In short: a wonder.If I have to put a hitch, I would say that the current menu focuses too much on seafood. They are very powerful and special flavors and textures that may not like everyone, or be difficult for some to understand.Nevertheless, we loved it and came out very happy.The price: the expected 3 Michelin stars."
13,"Una pena.La comida sin pena ni gloria, de un 3 estrellas esperas que los platos te insten a querer repetirlos,que recuerdes su sabor...nada de eso.para colmo, el maitre tenia prisa por irse, cobrando a los comensales antes de pedir la cuenta.la atención tampoco fue buena,llegas solo al garaje y desde ahí te las apañas para que luego te traten como si fueses a un restaurante de 30 euros.El maridaje, para nosotros, otra decepción.Muy bueno el sake pero sinceramente un postre con cerveza como que no me apetece...y así todo",es,"A pity.The food without pity or glory, of a 3 star hotel you expect the dishes to urge you to want to repeat them, to remember their taste...none of that.to top it off, the maitre d' was in a hurry to leave, charging the diners before asking for the bill.the attention wasn't good either, you arrive alone in the garage and from there you manage to be treated as if you were going to a restaurant of 30 euros.The pairing, for us, another disappointment.Very good sake but sincerely a dessert with beer like I don't feel like it...and so on"
14,"La comida nada sorprendente y más bien aburrida. Se salvaban las basadas en productos de calidad excelente como la gamba de Palamos. Del servicio, la camarera correcta pero lo de la sumiller es increíble. En una carta de vinos que parece el libro gordo de Petete no había ni un sólo vino de Castilla la Mancha y se lo comentamos a la sumiller. ¿Cómo que no? Hay un montón!! contesto. Después de coger ella el libro y pasar páginas y no encontrar nos dijo que ""tenian de allí cerca!!"" De cerca ¿de donde? le preguntamos. De allí cerca insistía ella. ¿De Utiel-Requena quizás? le quisimos ayudar. Támpoco la debía conocer porque se despachó con ""De cerca...de la meseta...del norte"". Una similar de un restaurante de 3 estrellas!!! El amigo Jordi Cruz no debe medir por el mismo rasero a sus concursantes que a sus empleados. Por esto y por lo anodino de la comida me inclino por pensar que en agosto en Abac deben quedar sólo los empleados en prácticas . Mejor cerrar....pero quien renuncia a todas esas mesas llenas de turistas con buen billetero?",es,"The food is not surprising and rather boring. They saved those based on excellent quality products such as Palamos shrimp. From the service, the right waitress, but the sommelier thing is amazing. In a wine list that looks like Petete's big book there was not a single wine from Castilla la Mancha and we told the sommelier. What do you mean, no? There's a lot! I answer. After taking the book and turning pages and not finding it told us that ""they had from there close!!"" Up close, where? we asked him. Nearby she insisted. From Utiel-Requena perhaps? we wanted to help him. I shouldn't have known her either because she was dispatched with ""Up close...from the plateau...from the north."" A similar 3 star restaurant!!! The friend Jordi Cruz should not measure his contestants by the same standard as his employees. For this reason and for the nondescript of the food I am inclined to think that in August in Abac should remain only the employees in practice. Better to close...But who gives up all those tables full of tourists with a good wallet?"
15,"No he puesto las 5 estrellas porque, aunque la comida estaba buenísima, esperaba más. Quizá esperaba que los platos me sorprendieran más. El personal estuvo atento y nos explicó bien los platos y los vinos, aunque eché en falta poder despedirnos de los camareros al irnos. Por otro lado, el chef Jordi Cruz, pasó por todas mesas a saludar y a preguntar cómo había ido la experiencia.",es,"I didn't put the 5 stars on because, although the food was great, I expected more. Maybe I expected the dishes to surprise me more. The staff were attentive and explained the dishes and wines well, although I did not want to say goodbye to the waiters when we left. Chef Jordi Cruz, on the other hand, went through all tables to greet and ask how the experience had gone."
16,Menú degustación muy completo y sorpréndete. Va mejorando a medida que avanza el menú y está a la altura de las expectativas. El servicio muy bueno y agradable.,es,Very complete tasting menu and be surprised. It's getting better as the menu progresses and lives up to expectations. The service is very good and pleasant.
17,"Estuvimos mi mujer y yo fue un regalo para ella, le hacía mucha ilusión, no voy a comentar la comida ya que con mi experiencia y mi edad comprendo que todo son gustos y experiencias, pero hay cosas que no están a la altura Un servicio de 3 estrellas michelín desde que entra el cliente hasta el que sale por la puerta ha de ser excepcional, el sommelier fue maravilloso pero el maitre no está a la altura ya que cuando presentaba los platos aparte de parecer un robot siri sin mirarte a los ojos. Parecía que estaba en clase repitiendo una poesía sin mirar ni expresar cada vez tenía menos ilusión y en la despedía parecía un salón de bodas.Por otro lado el salón tenía las cortinas descolgada de la cristaleramuy mal La música muy alta, mejor sin música y al cobrar más 250€por persona una despedida insípida. Muy mal servicio",es,"My wife was there and I was a gift for her, I was very excited, I won't comment on the food since with my experience and my age I understand that everything is tastes and experiences, but there are things that are not up to scratch A 3 star michelín service from the customer enters until the one that leaves through the door has to be exceptional, the sommelier was wonderful but the maitre is not up to it since when he presented the dishes apart from looking like a robot siri without looking into your eyes. It seemed that I was in class repeating a poetry without looking or expressing each time had less illusion and in the farewell seemed a wedding hall.On the other hand the salon had the curtains off the glass very badly The music very high, better without music and when charging more 250€per person a tasteless farewell. Very bad service"
18,"Me habría encantado poner 5 estrellas, pero soy celíaca y lo cierto es que, en ese sentido, he percibido fallos enormes.Notifiqué mi intolerancia al gluten en el momento de la reserva. En cuanto llegué al restaurante volví a recordarlo.Solicité maridaje de vinos y... ¡me sirvieron cerveza! (con cebada y, por tanto, gluten). Con uno de los postres, justo antes de meterme la cuchara a la boca, vino un camarero corriendo a quitármelo porque contenía gluten.Mientras al resto de comensales les sirven un pan elaborado por ellos de masa madre, a mí me pusieron un pan pequeño y descongelado (por cierto, mal descongelado y tuvieron que meterlo de nuevo en el horno).Aparte de todo eso, igual que le sucedió a la mujer alérgica al queso que ha escrito otra reseña, no me sustituyeron lo que contenía gluten de los platos. No había alternativa, simplemente lo quitaban. Es más, uno de los platos del menú ni me lo trajeron. Al quejarme de todo esto al final del servicio optaron por descontarme 30€ de la cuenta.Un restaurante de tres estrellas Michelín no puede cometer este tipo de errores con una intolerancia alimenticia. Primero y más importante porque está en juego la salud. Segundo porque, como celíaca, tengo igual derecho que todos los comensales a disfrutar de la misma cantidad de platos.",es,"I would have loved to put on 5 stars, but I am celiac and the truth is that, in that sense, I have perceived huge failures.I reported my intolerance to gluten at the time of booking. As soon as I got to the restaurant I remembered again. I asked for wine pairing and... they served me beer! (with barley and therefore gluten). With one of the desserts, just before I put the spoon in my mouth, a waiter came running to take it away because it contained gluten.While the rest of the diners are served a bread made by them from sourdough, I was put on a small and defrosted bread (by the way, badly defrosted and they had to put it back in the oven).Apart from all that, just as happened to the woman allergic to cheese who has written another review, I was not substituted for what contained gluten from the dishes. There was no alternative, they just took it away. What's more, one of the dishes on the menu didn't even bring it to me. When I complained about all this at the end of the service, they chose to deduct 30€ from my bill. A three-star Michelin restaurant cannot make such mistakes with a food intolerance. First and foremost because health is at stake. Secondly, as a celiac, I have the same right as all the guests to enjoy the same amount of dishes."
19,"cocina de fusión poco sorprendente, incluso insulsos algunos platos, como por ejemplo la gamba, y la ostra.  precios de bodega absolutamente abusivos. servicio mejorable. tal vez me hice demasiadas expectativas...esperaba disfrutar mas de los platos.",es,"unsurprisingly fusion cuisine, even some dishes, such as shrimp, and oyster are insulted.  absolutely abusive winery prices. improved service. maybe i got too much expectation...i was hoping to enjoy more of the dishes."
20,"No tengo gran experiencia en restaurantes michelinizados, así que mi opinión no sirve para comparar con otros. El espacio me gustó mucho, el servicio estuvo atento sin avasallar y con profesionalidad, el encargado del vino supo lo que nos hacía falta, la comida nos gustó sin duda ninguna (aunque alguna ""tontería"" podría suprimirse perfectamente). Resumiendo, una experiencia que vale la pena, aunque sin duda por el precio que tiene se puede comer muy-muy bien en muchos otros sitios.En el lado un poco negativo, pienso que los postres no estuvieron a la altura, que la vajilla debe repensarse/actualizarse y que los cafés eran manifiestamente mejorables.",es,"I don't have much experience in michelinized restaurants, so my opinion doesn't compare to others. I liked the space very much, the service was attentive without being overwhelmed and professionally, the wine manager knew what we needed, the food we definitely liked none (although some ""nonsense"" could be perfectly suppressed). In short, an experience worth it, although certainly for the price it has can be eaten very-very well in many other places.On the slightly negative side, I think the desserts were not up to scratch, that the crockery should be rethought/updated and that the coffees were manifestly improved."
21,"Quizás teníamos unas expectativas altas sobre la visita al Abac, pero al mismo tiempo lógico por ser un 3 estrellas Michelin.El servicio en general voluntarioso y en definitiva correcto. La comida, casi nada que podamos reprochar, pero después de pagar 325€ por cabeza no puedo decir Wow!! El menu degustación incluye mas de 15 platos, correcto en cantidad y equilibrio, pero puedo decir que casi ningún plato (excepto la caja china) no puedo decir Wow! Y eso es indicativo que nos queda un regusto a experiencia insuficiente. El precio vs calidad de los platos, por debajo de expectativas claramente. Creo que llegar hasta arriba es muy difícil, pero mas difícil es mantenerse, y no me han quedado canas de repetir, y eso es mala señal.Me gustaría opinar algo distinto, pero esto es lo que he vivido hoy.",es,"Perhaps we had high expectations about the visit to the Abac, but at the same time logical for being a 3 Michelin stars.The service in general voluntary and ultimately correct. The food, almost nothing we can reproach, but after paying 325€ per head I can not say Wow!! The tasting menu includes more than 15 dishes, correct in quantity and balance, but I can say that almost no dish (except the Chinese box) I can't say Wow! And that's indicative that we have a taste of insufficient experience left. The price vs quality of the dishes, below expectations clearly. I think getting to the top is very difficult, but it is harder to keep, and I have not been tired of repeating, and that is a bad sign.I would like to say something different, but this is what I have lived today."
22,"Cuando escoges un lugar como este para comer, ya sabes que estas apunto de subirte a un Rolls Royce y todo lo que comporta eso. Y la excelencia en todo, es lo que esperas. El local esta decorado de una manera muy cálida y acogedora. Pero si entras por el parking te pierdes gran parte del encanto del jardín. El servicio es muy amable, pero en según que platos noté poca pasión y mucha rapidez a la hora de explicarlos (como la azafata de un avión cuando explica donde se encuentran las salidas de emergencia). El producto que nos sirvieron , su calidad y su presentación fue en la mayoría de platos, excelente. Algún plato, en mi opinión, no me gusto. Comerte con cuchara unas burbujas.............no me sugirió absolutamente nada. Y los ""dulces en calabaza"" tampoco me gustaron. La sopa de cebolla y el bocadillo de anguila fueron sensacionales. Y en cuanto al precio...................pues bien, bajo mi punto de vista, el precio esta muy elevado. He estado en otros tres estrellas y cuando he acabado de comer y pagar, no me ha dado la sensación de que era demasiado caro. En este local, si me la dio. 300 € por persona. Sin pasarme con el vino, claro. Pero te cobran 28 € por dos copas de cava y 11 € por un carajillo. En fin...............es un gran restaurante, pero hay muchos mas de tres estrellas donde la relación calidad/precio es mucho mejor.",es,"When you pick a place like this to eat, you know you're about to get on a Rolls Royce and everything that comes with that. And excellence in everything is what you expect. The place is decorated in a very warm and welcoming manner. However, if you enter the car park, you will lose much of the charm of the garden. The service is very friendly, but according to which dishes I noticed little passion and a lot of speed when explaining them (like the flight attendant of a plane when explaining where the emergency exits are). The product we were served, its quality and presentation was in most dishes, excellent. Some dish, in my opinion, I don't like. Eat some bubbles with a spoon.............he didn't suggest anything at all. And I didn't like the pumpkin candy either. The onion soup and eel snack were sensational. And as for the price..................well, in my view, the price is very high. I've been to three other stars and when I've finished eating and paying, it hasn't given me the feeling it was too expensive. In this place, he gave it to me. 300 € per person. Without going over the wine, of course. But they charge you €28 for two glasses of cava and €11 for a snail. Anyway...............it is a great restaurant, but there are many more than three stars where the quality / price ratio is much better."
23,No defrauda la experiencia de 3 estrellas a mi quizas se me hizo hasta demasiado pero hay que reconocer el gran trabajo y dedicación de todo el equipo,es,I do not disappoint the experience of 3 stars to me maybe it was done to me too much but you have to recognize the great work and dedication of the whole team
24,El restaurante me envió por mail una confirmación de la reserva para comer hoy día 27 de febrero de 2021 a las 13h. La reserva es para dos menús prepagados porque se trata de un cheque regalo que me hicieron mis familiares.Llego al establecimiento y resulta que está cerrado con motivo del covid.Me parece del todo inaceptable que no se avise a los comensales con reserva de este hecho. Enviar un mail comunicándolo no cuesta nada.,es,The restaurant sent me by mail a confirmation of the reservation to eat today 27 February 2021 at 13h. The reservation is for two pre-paid menus because it is a gift check that my family members made me.I arrive at the establishment and it turns out that it is closed on the occasion of the covid.I find it completely unacceptable that diners are not warned with reservation of this fact. Sending an email communicating it costs nothing.
25,"Lamentable, teníamos la reserva desde octubre del año pasado. A 5 días de la reserva, con confirmación en el mail, se me ocurre llamar para reconfirmar, me topo con un contestador que dicen que están cerrados. ¿Un restaurante así, con la cantidad de personal que tienen, aunque estén cerrados no deberían tener a alguien para atender amablemente las llamadas? Pues no, un contestador. No solo eso, les mando un mail YO, y me dicen que están cerrados por las medidas COVID. 1) No es cierto, los restaurantes pueden abrir de 13h a 16:30h. 2) ME PARECE INCREIBLE QUE UN RESTAURANTE CON 3 ESTRELLAS MICHELIN NO SE PONGAN EN CONTACTO CONMIGO PARA AVISARME DE QUE ME CANCELAN LA MESA 3). Ya no solo eso, sino que en el mail ESTANDAR me dicen que cancele yo la reserva a través de un mail. Perdón??? Encima pretendéis cobrarme si no cancelo yo la reserva? QUE VERGUENZA",es,"Unfortunately, we had the reservation since October last year. 5 days after booking, with confirmation in the mail, I think to call to reconfirm, I run into an answering machine that say they are closed. A restaurant like this, with the number of staff they have, even if they're closed shouldn't they have someone to take kindly to calls? No, an answering machine. Not only that, I e-mail them YO, and they tell me that they are closed by the measures COVID. 1) Not true, restaurants can open from 13h to 16:30h. 2) I FIND IT INCREDIBLE THAT A RESTAURANT WITH 3 MICHELIN STARS DO NOT CONTACT ME TO WARN ME THAT TABLE 3 IS CANCELED.) Not only that, but in the STANDARD mail they tell me to cancel the reservation through an email. Excuse me? Do you intend to charge me if I don't cancel the reservation? SHAME ON YOU"
26,De los mejores restaurantes en los que he estado. Estaba todo riquísimo y muy bien explicado. Es un sitio al que vas para vivir una experiencia gastronómica.,es,The best restaurants I've ever been to. It was all very rich and very well explained. It's a place you go to for a gastronomic experience.
27,"Hablamos de un tres estrellas Michelin, es decir: la Excelencia. Pues va a ser que no. La comida, al fin y al cabo lo más importante: ningún pero. Buen producto, elaboración correcta, pocas sorpresas pero sin reproches.La sala: acogedora, elegante, cálida. Bien.El servicio: aquí está el punto débil. Envarado sin ser elegante. Se limita a describir los platos con la misma emoción con que una azafata indica las salidas de emergencia del avión. Si vas a proponerme una experiencia religiosa, al menos ponle un poco de sentimiento a la liturgia. Aparte, todavía no teníamos nuestras bebidas de aperitivo que ya nos habían servido el segundo plato. Tuvimos que pedir que rebajaran el ritmo pues parecía que nos ametrallaban a platos. Déjame el tiempo de reposar mi impresión sobre lo que acabo de degustar, por favor! Independientemente de nuestra mesa: platos que se caen, carritos que chocan, una botella que también se cae....y un cóctel del menú degustación que no se sirve y nadie sabe por qué. Los olvidos son humanos, y no pasa nada. Pero insisto: hablamos de tres estrellas. La Excelencia, que en nuestro caso no encontramos.Lo recomendamos? No. En Barcelona hay otras opciones mejores, algunas más económicas y otras menos pretenciosas. Es solamente nuestra opinión...",es,"We are talking about a three Michelin stars: Excellence. Well, it's not going to be. Food, after all, the most important thing: no buts. Good product, correct elaboration, few surprises but no reproaches.The room: cozy, elegant, warm. Good.The service: here's the weak point. Wrapped without being elegant. It merely describes the dishes with the same excitement as a flight attendant signals the plane's emergency exits. If you're going to propose to me a religious experience, at least put a little sentiment into the liturgy. Besides, we still didn't have our snack drinks that had already served us the second course. We had to ask them to slow down as it looked like we were machine-gunned to plates. Let me take the time to rest my impression on what I just tasted, please! Regardless of our table: dishes that fall off, bumper trolleys, a bottle that also falls off...and a cocktail from the tasting menu that is not served and no one knows why. Forgetfulness is human, and nothing happens. But I insist: we're talking three stars. Excellence, which in our case we do not find. We recommend it? No. In Barcelona there are other better options, some cheaper and others less pretentious. It's just our opinion..."
28,"Fuimos para darnos el capricho en nuestra luna de miel dado que no pudimos viajar a donde queríamos.No lo considero una cena, sino más bien una experiencia de casi 4 h en la que disfrutar de sabores y olores intensos, sorprendentes y en algunos casos desconocidos.El servicio fue excepcional y muchos de los platos los acababan de empatar o cocinar en la mesa.Para acompañar los platos me ofrecieron un minimaridaje muy acertado de unos 50 €.",es,"We went to indulge in our honeymoon because we couldn't travel where we wanted to.I don't consider it a dinner, but rather an almost 4-hour experience in which to enjoy intense, surprising and in some cases unknown flavors and smells.The service was exceptional and many of the dishes had just been tied up or cooked at the table.To accompany the dishes I was offered a very successful mini-match of about €50."
29,Magnifica experiencia gastronómica!! Trato inmejorable destacar la amabilidad y las explicaciones de Aitor todo un fenómeno!! Platos súper elaborados con unos sabores y texturas que despiertan todos tus sentidos. La verdad que ha sido uno de los mejores aniversarios de bodas de nuestra vida 😍.,es,
30,"Primera vez en un Michelin y no podría haber tenido mejor experiencia, todo de 10, desde el local, la atención, el espectáculo, la comida y como colofón final poder haber conocido a Jordi Cruz, que fue encantador. Una de las mejores experiencias de mi vida y que recomiendo 100%, merece la pena darse este lujazo una vez en la vida!!!",es,"First time in a Michelin and could not have had better experience, all of 10, from the local, the attention, the show, the food and as a final colophon to have met Jordi Cruz, who was charming. One of the best experiences of my life and I recommend 100%, it is worth giving this luxury once in a lifetime!!!"
31,"En nuestra segunda visita a este fantástico restaurante hemos vuelto a disfrutar del nivel gastronómico que tiene Jordi Cruz. Variedad de técnicas y sabores , con un producto de 10. Quizá en esta ocasión pequeños errores han impedido dar la nota máxima, si bien sigue siendo un lugar donde poder gozar de una grandisima experiencia. ",es,"On our second visit to this fantastic restaurant we have again enjoyed the gastronomic level that Jordi Cruz has. Variety of techniques and flavors, with a product of 10. Perhaps on this occasion small mistakes have prevented to give the maximum note, although it remains a place where to enjoy a great experience."
